Artist,Track,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,,,,,
Le Youth,1Zz6NBe8UIZjm88TvehFtx,C O O L - Radio Edit,0.0242,0.735,0.759,0.185,1,0.0966,-6.914,0.0449,109.982,,,,
Le Youth,1Zz6NBe8UIZjm88TvehFtx,Boomerang,0.00267,0.726,0.699,0,6,0.146,-7.356,0.0822,112.007,,,,
Le Youth,1Zz6NBe8UIZjm88TvehFtx,R E A L,0.0173,0.772,0.769,0.000631,11,0.05,-6.387,0.137,114.984,,,,
Le Youth,1Zz6NBe8UIZjm88TvehFtx,Walk Away,0.129,0.667,0.902,0,7,0.065,-3.824,0.0364,117.969,,,,
Le Youth,1Zz6NBe8UIZjm88TvehFtx,Lie - Le Youth Remix,0.133,0.719,0.736,0.00394,5,0.201,-6.569,0.156,119.004,,,,
Le Youth,1Zz6NBe8UIZjm88TvehFtx,I Could Always (feat. MNDR),0.0263,0.677,0.928,7.40E-05,1,0.394,-4.496,0.0538,103.994,,,,
Le Youth,1Zz6NBe8UIZjm88TvehFtx,Let You Go - Le Youth Remix,0.106,0.723,0.774,0.00601,1,0.495,-5.171,0.0985,117.979,,,,
Weiss (UK),0FBRY66KVaAiddGVefikLB,Feel My Needs,0.001,0.789,0.692,0.861,3,0.0505,-5.966,0.0475,121.998,,,,
Weiss (UK),0FBRY66KVaAiddGVefikLB,Feel My Needs (Turn Around),0.00916,0.695,0.848,0.109,3,0.12,-6.068,0.0506,122.028,,,,
Weiss (UK),0FBRY66KVaAiddGVefikLB,You're Sunshine,0.00859,0.462,0.921,0.00962,1,0.136,-6.578,0.0421,122.985,,,,
Weiss (UK),0FBRY66KVaAiddGVefikLB,Feel My Needs - Purple Disco Machine Remix,0.0127,0.707,0.896,0.859,3,0.0182,-5.157,0.0538,122.011,,,,
Weiss (UK),0FBRY66KVaAiddGVefikLB,Feel My Needs - Gorgon City Remix,0.00043,0.646,0.902,0.906,7,0.0663,-6.505,0.0428,125.001,,,,
Weiss (UK),0FBRY66KVaAiddGVefikLB,Feel My Needs - Original Mix,0.0017,0.826,0.64,0.856,3,0.0273,-6.557,0.0544,122.003,,,,
Weiss (UK),0FBRY66KVaAiddGVefikLB,My Sister - Original Mix,0.00107,0.883,0.518,0.667,7,0.0991,-8.548,0.126,119.999,,,,
Weiss (UK),0FBRY66KVaAiddGVefikLB,Feel My Needs - Even Shorter Version,0.00288,0.671,0.812,0.811,3,0.185,-6.615,0.0364,122.015,,,,
Weiss (UK),0FBRY66KVaAiddGVefikLB,Say It To Me,0.0696,0.471,0.77,0.28,11,0.0895,-8.778,0.103,125.946,,,,
Weiss (UK),0FBRY66KVaAiddGVefikLB,Baby Talk To Me - Original Mix,0.0288,0.753,0.889,0.0336,1,0.136,-8.939,0.041,117.997,,,,
